name,symbol,price,change,volume,mkt_cap,PE_ratio
"Tempus AI, Inc.",TEM,93.08,+1.42,5.533M,15.754B,43.29
"Healthpeak Properties, Inc.",DOC,19.24,-0.13,5.176M,13.37B,80.17
The Kroger Co.,KR,64.80,-1.50,5.187M,42.942B,16.45
Honeywell International Inc.,HON,209.00,-0.05,5.156M,132.693B,23.75
Knight-Swift Transportation Holdings Inc.,KNX,43.26,+1.85,5.111M,7.021B,42.41
PPL Corporation,PPL,37.15,+0.45,5.104M,27.473B,27.93
Hut 8 Corp.,HUT,41.42,+1.32,5.366M,4.371B,28.97
"Coupang, Inc.",CPNG,32.43,+0.07,5.1M,59.487B,162.15
Amphenol Corporation,APH,123.40,+1.18,5.154M,150.662B,49.16
Carrier Global Corporation,CARR,59.81,+0.16,5.082M,50.9B,33.98
The Walt Disney Company,DIS,112.75,+0.28,5.066M,202.717B,17.67
"DocuSign, Inc.",DOCU,72.17,+2.44,5.373M,14.514B,54.67
